Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0030,Otu1109,-0.371263,0.000861,0.027296027,0.371263,1
Otu0291,Otu0302,0.452065,0.000696,0.024012,0.452065,2
Otu0291,Otu0309,0.549311,3.00E-05,0.001675714,0.549311,2
Otu0291,Otu0314,0.77038,0,0,0.77038,3
Otu0291,Otu0552,-0.380181,0.001212,0.031245626,0.380181,1
Otu0291,Otu0664,-0.413666,0.00072,0.024130286,0.413666,2
Otu0291,Otu0796,-0.401739,0.00102,0.028389236,0.401739,2
Otu0291,Otu0797,-0.401363,0.001092,0.0284648,0.401363,2
Otu0291,Otu1887,0.608943,3.00E-06,0.000213273,0.608943,3
Otu0302,Otu0309,0.496745,0.000462,0.017204,0.496745,2
Otu0302,Otu0314,0.441592,0.00099,0.028323659,0.441592,2
Otu0302,Otu0664,-0.403545,0.000942,0.027973823,0.403545,2
Otu0302,Otu0691,-0.387136,0.001539,0.035397,0.387136,1
Otu0302,Otu0716,-0.392697,0.001077,0.028389236,0.392697,1
Otu0302,Otu0790,-0.394702,0.001431,0.033910364,0.394702,1
Otu0302,Otu0796,-0.396753,0.001674,0.037401943,0.396753,1
Otu0302,Otu0797,-0.464462,0.000741,0.02414425,0.464462,2
Otu0302,Otu0804,-0.393227,0.001701,0.03749215,0.393227,1
Otu0302,Otu0805,-0.396966,0.001494,0.034702218,0.396966,1
Otu0309,Otu0314,0.514103,0.00012,0.005745306,0.514103,2
Otu0309,Otu0552,-0.386431,0.001329,0.032893389,0.386431,1
Otu0309,Otu0792,-0.381939,0.002352,0.048401684,0.381939,1
Otu0309,Otu0797,-0.510078,0.000264,0.0112608,0.510078,2
Otu0309,Otu0817,0.403112,0.002028,0.043251709,0.403112,2
Otu0309,Otu0915,0.472992,0.000492,0.018034875,0.472992,2
Otu0309,Otu0918,0.434795,0.001353,0.033063938,0.434795,2
Otu0309,Otu1887,0.413278,0.001329,0.032893389,0.413278,2
Otu0309,Otu1900,-0.400571,0.000918,0.027610615,0.400571,2
Otu0309,Otu1947,-0.473958,0.000216,0.009561057,0.473958,2
Otu0314,Otu0552,-0.394662,0.000738,0.02414425,0.394662,1
Otu0314,Otu0664,-0.398131,0.000906,0.027610615,0.398131,1
Otu0314,Otu1887,0.605893,3.00E-06,0.000213273,0.605893,3
Otu0348,Otu0772,-0.373878,0.001071,0.028389236,0.373878,1
Otu0348,Otu0776,-0.366623,0.001053,0.028389236,0.366623,1
Otu0348,Otu0781,-0.367292,0.001257,0.0320535,0.367292,1
Otu0528,Otu0772,-0.403195,0.000765,0.024584795,0.403195,2
Otu0528,Otu0776,-0.397058,0.000954,0.02797605,0.397058,1
Otu0528,Otu0809,0.425024,0.001755,0.0381225,0.425024,2
Otu0552,Otu0716,0.417849,0.001818,0.039128697,0.417849,2
Otu0552,Otu1703,0.466938,0.000213,0.009561057,0.466938,2
Otu0552,Otu1887,-0.469938,6.90E-05,0.003519,0.469938,2
Otu0664,Otu0691,0.428199,0.00159,0.035866731,0.428199,2
Otu0664,Otu0796,0.488675,0.000366,0.014804069,0.488675,2
Otu0664,Otu0797,0.477086,0.000429,0.0170085,0.477086,2
Otu0664,Otu0798,0.449816,0.001038,0.028389236,0.449816,2
Otu0664,Otu1887,-0.461335,0.000246,0.010687333,0.461335,2
Otu0664,Otu1900,0.421368,0.001416,0.033897306,0.421368,2
Otu0669,Otu0968,-0.383786,0.000456,0.017204,0.383786,1
Otu0669,Otu1853,-0.467051,0.000297,0.012223895,0.467051,2
Otu0691,Otu1891,0.419953,0.00219,0.045466726,0.419953,2
Otu0716,Otu1887,-0.390062,0.000717,0.024130286,0.390062,1
Otu0745,Otu1404,-0.349862,0.002439,0.049326672,0.349862,1
Otu0772,Otu0776,0.73736,0,0,0.73736,3
Otu0772,Otu0781,0.68233,0,0,0.68233,3
Otu0776,Otu0781,0.676644,0,0,0.676644,3
Otu0776,Otu1661,0.410775,0.001404,0.033897306,0.410775,2
Otu0781,Otu0918,0.41184,0.002421,0.049326672,0.41184,2
Otu0790,Otu0792,0.536771,8.10E-05,0.004043106,0.536771,2
