Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0030,Otu0291,-0.287668,0.04732,0.238375751,0.287668,1
Otu0030,Otu0314,-0.297727,0.04023,0.220578558,0.297727,1
Otu0030,Otu0552,0.316915,0.02965,0.194298603,0.316915,1
Otu0030,Otu1109,-0.409196,0.0022,0.053691959,0.409196,2
Otu0030,Otu1501,0.39563,0.00761,0.105639408,0.39563,1
Otu0030,Otu1891,0.345927,0.02193,0.173935758,0.345927,1
Otu0030,Otu1917,0.296342,0.03775,0.215478102,0.296342,1
Otu0030,Otu1947,0.303309,0.03788,0.21569534,0.303309,1
Otu0291,Otu0302,0.345728,0.02223,0.17442,0.345728,1
Otu0291,Otu0309,0.556898,0.00021,0.010948,0.556898,2
Otu0291,Otu0314,0.753137,0,0,0.753137,3
Otu0291,Otu0552,-0.436414,0.00156,0.043568571,0.436414,2
Otu0291,Otu0664,-0.441778,0.0018,0.048537931,0.441778,2
Otu0291,Otu0711,0.326584,0.02736,0.191636272,0.326584,1
Otu0291,Otu0716,-0.319027,0.02662,0.190540976,0.319027,1
Otu0291,Otu0792,-0.417313,0.00592,0.093210201,0.417313,2
Otu0291,Otu0795,-0.34821,0.02007,0.169627447,0.34821,1
Otu0291,Otu0796,-0.436463,0.00346,0.071562857,0.436463,2
Otu0291,Otu0797,-0.418582,0.00517,0.08789,0.418582,2
Otu0291,Otu0804,-0.39019,0.01005,0.124091053,0.39019,1
Otu0291,Otu0805,-0.286423,0.04723,0.238375751,0.286423,1
Otu0291,Otu0817,0.346615,0.02542,0.185202857,0.346615,1
Otu0291,Otu1501,-0.318863,0.02039,0.169627447,0.318863,1
Otu0291,Otu1703,-0.334258,0.01621,0.157530992,0.334258,1
Otu0291,Otu1887,0.619747,5.00E-05,0.003554545,0.619747,3
Otu0291,Otu1900,-0.364556,0.01068,0.12590593,0.364556,1
Otu0302,Otu0309,0.482978,0.00363,0.071562857,0.482978,2
Otu0302,Otu0314,0.347514,0.0226,0.174982178,0.347514,1
Otu0302,Otu0664,-0.407767,0.00549,0.091233333,0.407767,2
Otu0302,Otu0691,-0.286125,0.04526,0.233362549,0.286125,1
Otu0302,Otu0716,-0.374391,0.01217,0.135226981,0.374391,1
Otu0302,Otu0790,-0.457045,0.00137,0.041205385,0.457045,2
Otu0302,Otu0795,-0.3005,0.03874,0.216907017,0.3005,1
Otu0302,Otu0796,-0.423111,0.00498,0.085905,0.423111,2
Otu0302,Otu0797,-0.449778,0.00205,0.051661915,0.449778,2
Otu0302,Otu0798,-0.462817,0.00186,0.049585909,0.462817,2
Otu0302,Otu0804,-0.463691,0.00143,0.042228,0.463691,2
Otu0302,Otu0805,-0.341675,0.02152,0.173935758,0.341675,1
Otu0302,Otu0809,-0.286345,0.04598,0.235008889,0.286345,1
Otu0302,Otu0915,0.521166,0.00144,0.042228,0.521166,2
Otu0302,Otu0918,0.496074,0.00149,0.042628537,0.496074,2
Otu0302,Otu1887,0.406081,0.00675,0.100224684,0.406081,2
Otu0302,Otu1891,-0.335359,0.02427,0.181537476,0.335359,1
Otu0302,Otu1900,-0.294674,0.0392,0.218439905,0.294674,1
Otu0302,Otu1947,-0.327484,0.02181,0.173935758,0.327484,1
Otu0309,Otu0314,0.470259,0.00303,0.067698857,0.470259,2
Otu0309,Otu0552,-0.399332,0.00616,0.095704371,0.399332,1
Otu0309,Otu0664,-0.39753,0.00737,0.104656886,0.39753,1
Otu0309,Otu0691,-0.307312,0.0348,0.208506735,0.307312,1
Otu0309,Otu0790,-0.518745,0.00105,0.036225,0.518745,2
Otu0309,Otu0792,-0.44955,0.00207,0.051661915,0.44955,2
Otu0309,Otu0795,-0.351291,0.01929,0.166990185,0.351291,1
Otu0309,Otu0796,-0.450588,0.00246,0.0577116,0.450588,2
Otu0309,Otu0797,-0.595177,0.00031,0.015473617,0.595177,2
Otu0309,Otu0798,-0.429431,0.0045,0.082476563,0.429431,2
Otu0309,Otu0801,-0.313407,0.03281,0.203850862,0.313407,1
Otu0309,Otu0804,-0.481853,0.00118,0.038774167,0.481853,2
Otu0309,Otu0805,-0.407557,0.0073,0.104656886,0.407557,2
Otu0309,Otu0809,-0.312008,0.03306,0.203850862,0.312008,1
Otu0309,Otu0817,0.344589,0.02238,0.17486245,0.344589,1
Otu0309,Otu0915,0.619855,0.00011,0.006294146,0.619855,3
Otu0309,Otu0918,0.534073,0.00075,0.029325,0.534073,2
Otu0309,Otu1404,-0.339392,0.02018,0.169627447,0.339392,1
Otu0309,Otu1703,-0.449002,0.00111,0.03774,0.449002,2
Otu0309,Otu1887,0.45213,0.00288,0.065596893,0.45213,2
Otu0309,Otu1891,-0.308267,0.03527,0.210246853,0.308267,1
Otu0309,Otu1900,-0.374283,0.01196,0.133610286,0.374283,1
Otu0309,Otu1935,-0.36047,0.01368,0.145536923,0.36047,1
Otu0309,Otu1937,-0.332332,0.01766,0.16104973,0.332332,1
Otu0309,Otu1947,-0.462862,0.00096,0.03519,0.462862,2
Otu0314,Otu0552,-0.507865,0.00056,0.023886545,0.507865,2
