Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0030,Otu0501,-0.413751,0.03262,0.460076667,0.413751,2
Otu0030,Otu1404,-0.544329,0.01937,0.459392951,0.544329,2
Otu0291,Otu0302,0.566008,0.02136,0.459392951,0.566008,2
Otu0291,Otu0314,0.763736,0.00486,0.39054,0.763736,3
Otu0291,Otu1895,-0.544949,0.02289,0.459392951,0.544949,2
Otu0302,Otu0691,-0.48201,0.04789,0.494950508,0.48201,2
Otu0302,Otu0745,0.569347,0.01305,0.414967792,0.569347,2
Otu0302,Otu0968,0.458136,0.0385,0.475373684,0.458136,2
Otu0302,Otu1895,-0.47897,0.0297,0.460076667,0.47897,2
Otu0302,Otu1897,0.457456,0.03117,0.460076667,0.457456,2
Otu0302,Otu1899,0.483219,0.03466,0.460076667,0.483219,2
Otu0309,Otu0817,0.499018,0.04457,0.494950508,0.499018,2
Otu0309,Otu1858,-0.40091,0.04542,0.494950508,0.40091,2
Otu0309,Otu1957,-0.512155,0.02721,0.460076667,0.512155,2
Otu0309,Otu1985,-0.438999,0.049,0.494950508,0.438999,2
Otu0314,Otu0599,-0.627414,0.0024,0.28152,0.627414,3
Otu0314,Otu1501,-0.592953,0.00686,0.392525854,0.592953,2
Otu0314,Otu1903,-0.49588,0.0304,0.460076667,0.49588,2
Otu0314,Otu1937,-0.53584,0.01115,0.414967792,0.53584,2
Otu0348,Otu0501,0.412448,0.03673,0.470866557,0.412448,2
Otu0348,Otu0669,0.476218,0.04262,0.494950508,0.476218,2
Otu0348,Otu0790,-0.499698,0.02616,0.460076667,0.499698,2
Otu0348,Otu0886,-0.405348,0.02689,0.460076667,0.405348,2
Otu0348,Otu1797,-0.458216,0.02534,0.460076667,0.458216,2
Otu0348,Otu1887,-0.469365,0.02743,0.460076667,0.469365,2
Otu0348,Otu1957,0.686071,0.00132,0.221194286,0.686071,3
Otu0465,Otu0711,-0.444537,0.02078,0.459392951,0.444537,2
Otu0465,Otu0915,-0.562444,0.00911,0.414967792,0.562444,2
Otu0465,Otu0918,-0.541563,0.01168,0.414967792,0.541563,2
Otu0465,Otu0967,0.425302,0.0497,0.494950508,0.425302,2
Otu0465,Otu1411,0.438061,0.03779,0.473442766,0.438061,2
Otu0465,Otu1915,-0.491383,0.01415,0.42079519,0.491383,2
Otu0501,Otu0716,-0.337512,0.0458,0.494950508,0.337512,1
Otu0528,Otu0797,0.611412,0.02061,0.459392951,0.611412,3
Otu0528,Otu0798,0.526346,0.04819,0.494950508,0.526346,2
Otu0528,Otu0804,0.56704,0.03388,0.460076667,0.56704,2
Otu0528,Otu0805,0.613151,0.02229,0.459392951,0.613151,3
Otu0528,Otu0809,0.683222,0.0112,0.414967792,0.683222,3
Otu0528,Otu0886,-0.420304,0.02315,0.459392951,0.420304,2
Otu0528,Otu0915,0.484947,0.04548,0.494950508,0.484947,2
Otu0528,Otu1853,-0.477945,0.02476,0.460076667,0.477945,2
Otu0528,Otu1897,-0.379192,0.03162,0.460076667,0.379192,1
Otu0552,Otu0745,-0.487461,0.01522,0.424764,0.487461,2
Otu0552,Otu0795,-0.466218,0.03215,0.460076667,0.466218,2
Otu0552,Otu0968,-0.359236,0.04644,0.494950508,0.359236,1
Otu0552,Otu1907,-0.394818,0.03609,0.467774254,0.394818,1
Otu0552,Otu1957,0.49583,0.03378,0.460076667,0.49583,2
Otu0599,Otu1109,-0.423901,0.02174,0.459392951,0.423901,2
Otu0599,Otu1411,0.49488,0.02327,0.459392951,0.49488,2
Otu0616,Otu0728,0.777051,0.00758,0.412682727,0.777051,3
Otu0616,Otu0792,0.57587,0.04256,0.494950508,0.57587,2
Otu0616,Otu0796,0.617264,0.02917,0.460076667,0.617264,3
Otu0616,Otu0797,0.654289,0.01887,0.459392951,0.654289,3
Otu0616,Otu0798,0.646868,0.02552,0.460076667,0.646868,3
Otu0616,Otu0804,0.709632,0.01611,0.439465814,0.709632,3
Otu0616,Otu0805,0.702045,0.01482,0.424764,0.702045,3
Otu0616,Otu0809,0.629213,0.02472,0.460076667,0.629213,3
Otu0616,Otu0968,-0.438844,0.0264,0.460076667,0.438844,2
Otu0616,Otu1109,-0.402366,0.03506,0.460076667,0.402366,2
Otu0616,Otu1717,0.581625,0.03243,0.460076667,0.581625,2
Otu0616,Otu1887,0.594285,0.03332,0.460076667,0.594285,2
Otu0616,Otu1897,-0.361152,0.04393,0.494950508,0.361152,1
Otu0616,Otu1903,-0.605672,0.00364,0.332784444,0.605672,3
Otu0616,Otu1915,-0.486236,0.02862,0.460076667,0.486236,2
Otu0616,Otu1917,-0.445869,0.02149,0.459392951,0.445869,2
Otu0664,Otu0745,-0.428015,0.03309,0.460076667,0.428015,2
Otu0664,Otu0915,-0.616591,0.00895,0.414967792,0.616591,3
Otu0664,Otu0918,-0.591182,0.01222,0.414967792,0.591182,2
Otu0664,Otu1797,0.492537,0.04586,0.494950508,0.492537,2
Otu0664,Otu1858,0.460387,0.03421,0.460076667,0.460387,2
Otu0669,Otu0817,-0.491601,0.04303,0.494950508,0.491601,2
Otu0669,Otu1858,0.53832,0.01539,0.424764,0.53832,2
Otu0669,Otu1895,0.678694,0.00417,0.349386429,0.678694,3
Otu0691,Otu1891,0.517074,0.0425,0.494950508,0.517074,2
Otu0691,Otu1900,0.510623,0.03824,0.474661587,0.510623,2
Otu0705,Otu0745,-0.375895,0.02353,0.459392951,0.375895,1
Otu0705,Otu0790,-0.394439,0.03119,0.460076667,0.394439,1
Otu0705,Otu0795,-0.46675,0.01074,0.414967792,0.46675,2
Otu0705,Otu0796,-0.524664,0.00287,0.32062,0.524664,2
Otu0705,Otu0804,-0.417182,0.01503,0.424764,0.417182,2
Otu0705,Otu0805,-0.347134,0.04712,0.494950508,0.347134,1
Otu0705,Otu1501,0.413862,0.03005,0.460076667,0.413862,2
Otu0705,Otu1717,-0.370315,0.02882,0.460076667,0.370315,1
Otu0705,Otu1903,0.413973,0.03518,0.460076667,0.413973,2
Otu0711,Otu0728,-0.515656,0.01748,0.459392951,0.515656,2
Otu0711,Otu0915,0.608917,0.01212,0.414967792,0.608917,3
Otu0711,Otu0918,0.486077,0.04432,0.494950508,0.486077,2
Otu0711,Otu1149,0.412865,0.04779,0.494950508,0.412865,2
Otu0711,Otu1661,-0.480696,0.02011,0.459392951,0.480696,2
Otu0711,Otu1903,0.596578,0.00774,0.412682727,0.596578,2
Otu0711,Otu1915,0.527203,0.02086,0.459392951,0.527203,2
Otu0711,Otu1917,0.447507,0.03507,0.460076667,0.447507,2
Otu0716,Otu1858,0.555559,0.01128,0.414967792,0.555559,2
Otu0728,Otu0792,0.749061,0.01178,0.414967792,0.749061,3
Otu0728,Otu0796,0.566935,0.04502,0.494950508,0.566935,2
Otu0728,Otu0797,0.675759,0.01808,0.459392951,0.675759,3
Otu0728,Otu0798,0.744499,0.01362,0.414967792,0.744499,3
Otu0728,Otu0804,0.700646,0.01948,0.459392951,0.700646,3
Otu0728,Otu0805,0.68291,0.02043,0.459392951,0.68291,3
Otu0728,Otu0809,0.647303,0.02446,0.460076667,0.647303,3
Otu0728,Otu0945,0.635163,0.02495,0.460076667,0.635163,3
Otu0728,Otu1109,-0.540267,0.00598,0.392303333,0.540267,2
Otu0728,Otu1717,0.55964,0.04346,0.494950508,0.55964,2
Otu0728,Otu1887,0.591229,0.03932,0.48044125,0.591229,2
Otu0728,Otu1903,-0.617635,0.00383,0.332784444,0.617635,3
