Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0291,Otu0302,0.526439,1.20E-05,0.0003519,0.526439,2
Otu0291,Otu0309,0.519178,0,0,0.519178,2
Otu0291,Otu0314,0.765803,0,0,0.765803,3
Otu0291,Otu0552,-0.397869,0.000292,0.003982744,0.397869,1
Otu0291,Otu0616,-0.340121,0.000876,0.008671291,0.340121,1
Otu0291,Otu0711,0.354458,0.002184,0.016635273,0.354458,1
Otu0291,Otu0797,-0.306423,0.003704,0.024204969,0.306423,1
Otu0291,Otu0798,-0.397909,0.000348,0.004510541,0.397909,1
Otu0291,Otu0800,0.291414,0.00738,0.039618947,0.291414,1
Otu0291,Otu0809,-0.28262,0.008256,0.042568299,0.28262,1
Otu0291,Otu0968,0.35984,0.001152,0.010434718,0.35984,1
Otu0291,Otu1404,-0.285305,0.005492,0.032453985,0.285305,1
Otu0291,Otu1717,-0.344942,0.000552,0.006051364,0.344942,1
Otu0291,Otu1887,0.434398,0.00028,0.003864,0.434398,2
Otu0302,Otu0309,0.658939,0,0,0.658939,3
Otu0302,Otu0314,0.58714,0,0,0.58714,2
Otu0302,Otu0552,-0.611226,0,0,0.611226,3
Otu0302,Otu0616,-0.533069,4.00E-06,0.000144369,0.533069,2
Otu0302,Otu0664,-0.352303,0.000476,0.005500966,0.352303,1
Otu0302,Otu0669,-0.430815,0.000116,0.00215981,0.430815,2
Otu0302,Otu0691,-0.279421,0.00714,0.038929448,0.279421,1
Otu0302,Otu0716,-0.348069,0.000588,0.006386333,0.348069,1
Otu0302,Otu0790,-0.437367,9.60E-05,0.001941517,0.437367,2
Otu0302,Otu0796,-0.279924,0.007536,0.040272109,0.279924,1
Otu0302,Otu0797,-0.458187,3.60E-05,0.000918,0.458187,2
Otu0302,Otu0798,-0.499015,0,0,0.499015,2
Otu0302,Otu0805,-0.331912,0.001216,0.010841364,0.331912,1
Otu0302,Otu0809,-0.31147,0.00244,0.018057539,0.31147,1
Otu0302,Otu0945,-0.321653,0.000904,0.00876357,0.321653,1
Otu0302,Otu0967,-0.350516,0.000468,0.005462328,0.350516,1
Otu0302,Otu0968,0.392578,0.000324,0.004393665,0.392578,1
Otu0302,Otu1109,0.361816,0.001,0.009421687,0.361816,1
Otu0302,Otu1404,-0.30289,0.002184,0.016635273,0.30289,1
Otu0302,Otu1411,-0.436579,6.40E-05,0.001486574,0.436579,2
Otu0302,Otu1703,0.312909,0.00522,0.031774321,0.312909,1
Otu0302,Otu1797,-0.533754,0,0,0.533754,2
Otu0302,Otu1840,-0.460928,1.60E-05,0.000446857,0.460928,2
Otu0302,Otu1853,0.381411,0.00124,0.010977509,0.381411,1
Otu0302,Otu1858,-0.372201,0.000208,0.003167847,0.372201,1
Otu0302,Otu1887,0.444983,0.00012,0.002199375,0.444983,2
Otu0302,Otu1895,-0.258483,0.009092,0.045114622,0.258483,1
Otu0302,Otu1899,0.323539,0.003592,0.023604571,0.323539,1
Otu0302,Otu1903,0.31705,0.005392,0.032105665,0.31705,1
Otu0302,Otu1917,0.367556,0.000924,0.008920593,0.367556,1
Otu0302,Otu1985,-0.363858,0.000356,0.004563803,0.363858,1
Otu0309,Otu0314,0.587747,0,0,0.587747,2
Otu0309,Otu0552,-0.38061,0.000488,0.005557515,0.38061,1
Otu0309,Otu0616,-0.397532,0.000504,0.005684538,0.397532,1
Otu0309,Otu0797,-0.34222,0.00118,0.010606437,0.34222,1
Otu0309,Otu0798,-0.386745,0.000548,0.006051364,0.386745,1
Otu0309,Otu0886,0.2935,0.005832,0.0337824,0.2935,1
Otu0309,Otu1404,-0.426211,0.000156,0.002577296,0.426211,2
Otu0309,Otu1411,-0.289259,0.00486,0.030004105,0.289259,1
Otu0309,Otu1661,-0.277639,0.00652,0.036332352,0.277639,1
Otu0309,Otu1797,-0.373136,0.000416,0.005109613,0.373136,1
Otu0309,Otu1840,-0.315032,0.001912,0.015205261,0.315032,1
Otu0309,Otu1858,-0.303751,0.002076,0.016051579,0.303751,1
Otu0309,Otu1887,0.487421,1.20E-05,0.0003519,0.487421,2
Otu0309,Otu1895,-0.257073,0.010252,0.049184442,0.257073,1
Otu0309,Otu1899,0.305667,0.005828,0.0337824,0.305667,1
Otu0309,Otu1985,-0.266886,0.009228,0.045385509,0.266886,1
Otu0314,Otu0552,-0.498462,1.20E-05,0.0003519,0.498462,2
Otu0314,Otu0616,-0.407681,0.000156,0.002577296,0.407681,2
Otu0314,Otu0669,-0.315779,0.002292,0.017289492,0.315779,1
Otu0314,Otu0716,-0.355979,0.000344,0.004510541,0.355979,1
Otu0314,Otu0792,-0.2815,0.009224,0.045385509,0.2815,1
Otu0314,Otu0796,-0.287776,0.007628,0.040395684,0.287776,1
Otu0314,Otu0797,-0.351435,0.000272,0.003798286,0.351435,1
Otu0314,Otu0798,-0.403093,0.000204,0.003167847,0.403093,2
Otu0314,Otu0809,-0.414729,0.000176,0.002847559,0.414729,2
Otu0314,Otu0968,0.431054,5.60E-05,0.001340571,0.431054,2
Otu0314,Otu1411,-0.384267,0.000216,0.003187019,0.384267,1
Otu0314,Otu1717,-0.397017,0.000172,0.002802167,0.397017,1
Otu0314,Otu1797,-0.270499,0.008456,0.0431256,0.270499,1
Otu0314,Otu1887,0.490535,3.20E-05,0.000834133,0.490535,2
Otu0348,Otu0691,-0.244375,0.00978,0.047306969,0.244375,1
Otu0348,Otu0796,-0.262248,0.006108,0.034280785,0.262248,1
Otu0348,Otu0798,-0.261467,0.005492,0.032453985,0.261467,1
Otu0348,Otu1501,0.319903,0.00354,0.023328202,0.319903,1
Otu0348,Otu1840,-0.275806,0.003092,0.021327273,0.275806,1
