Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0302,Otu0552,-0.467797,9.60E-05,0.008294786,0.467797,2
Otu0302,Otu0800,-0.361332,0.000795,0.0373014,0.361332,1
Otu0302,Otu0915,0.584927,3.60E-05,0.004021714,0.584927,2
Otu0309,Otu0314,-0.433249,0.000498,0.026552455,0.433249,2
Otu0309,Otu1411,-0.350938,0.001122,0.0478584,0.350938,1
Otu0314,Otu1887,0.587848,1.50E-05,0.002199375,0.587848,2
Otu0501,Otu0918,-0.357636,0.000294,0.018150632,0.357636,1
Otu0552,Otu0790,0.417455,0.001008,0.043792,0.417455,2
Otu0552,Otu0809,0.450184,0.000357,0.021474923,0.450184,2
Otu0552,Otu1411,0.420436,0.000249,0.015787946,0.420436,2
Otu0616,Otu0817,0.483815,0.000159,0.011656688,0.483815,2
Otu0705,Otu0915,-0.307043,0.000966,0.04275917,0.307043,1
Otu0705,Otu1903,-0.333536,0.000177,0.012583091,0.333536,1
Otu0745,Otu1404,-0.469642,6.90E-05,0.00674475,0.469642,2
Otu0745,Otu1887,0.453164,0.000411,0.02351722,0.453164,2
Otu0772,Otu0776,0.735256,0,0,0.735256,3
Otu0772,Otu0781,0.778592,0,0,0.778592,3
Otu0776,Otu0781,0.606043,3.00E-06,0.000639818,0.606043,3
Otu0790,Otu0792,0.536912,8.40E-05,0.00788256,0.536912,2
Otu0790,Otu0795,0.574095,1.20E-05,0.0018768,0.574095,2
Otu0790,Otu0804,0.577426,1.20E-05,0.0018768,0.577426,2
Otu0790,Otu1703,-0.368145,0.000399,0.02340135,0.368145,1
Otu0792,Otu0795,0.777414,0,0,0.777414,3
Otu0792,Otu0797,0.548122,1.80E-05,0.002484,0.548122,2
Otu0792,Otu0798,0.483546,0.000426,0.023569116,0.483546,2
Otu0792,Otu0801,0.463557,0.000555,0.028152,0.463557,2
Otu0792,Otu0804,0.723805,0,0,0.723805,3
Otu0792,Otu0805,0.554262,3.30E-05,0.0038709,0.554262,2
Otu0795,Otu0796,0.572496,1.20E-05,0.0018768,0.572496,2
Otu0795,Otu0797,0.664081,0,0,0.664081,3
Otu0795,Otu0798,0.47625,0.000582,0.02844525,0.47625,2
