Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0030,Otu0528,0.39122,0.001652,0.042588923,0.39122,1
Otu0291,Otu0776,0.447153,0.000728,0.027998164,0.447153,2
Otu0291,Otu1985,-0.374725,6.00E-04,0.024175729,0.374725,1
Otu0302,Otu0309,0.520862,3.60E-05,0.003128,0.520862,2
Otu0302,Otu0796,-0.379401,0.001276,0.0352176,0.379401,1
Otu0302,Otu0797,-0.445941,0.000532,0.022454571,0.445941,2
Otu0302,Otu0798,-0.391297,0.00098,0.030345662,0.391297,1
Otu0302,Otu0801,-0.392454,0.000808,0.02829206,0.392454,1
Otu0302,Otu1887,0.460681,3.00E-04,0.015848533,0.460681,2
Otu0314,Otu1717,0.403013,0.001112,0.031430747,0.403013,2
Otu0314,Otu1887,0.462237,0.000304,0.015848533,0.462237,2
Otu0314,Otu1895,-0.357489,0.000996,0.030345662,0.357489,1
Otu0314,Otu1899,-0.348658,0.001036,0.0303807,0.348658,1
Otu0314,Otu1915,-0.45865,0.000164,0.010687333,0.45865,2
Otu0314,Otu1935,-0.347334,0.002,0.048371134,0.347334,1
Otu0348,Otu0798,-0.316841,0.00172,0.04386,0.316841,1
Otu0528,Otu0691,-0.438396,0.000208,0.0124338,0.438396,2
Otu0528,Otu0796,-0.411909,0.000632,0.0247112,0.411909,2
Otu0528,Otu1985,0.469235,7.60E-05,0.005402909,0.469235,2
Otu0616,Otu0790,-0.368995,0.001448,0.039046069,0.368995,1
Otu0669,Otu0790,-0.419733,0.000808,0.02829206,0.419733,2
Otu0691,Otu1985,-0.419063,0.000192,0.011853474,0.419063,2
Otu0711,Otu0805,-0.383254,0.000436,0.019670308,0.383254,1
Otu0716,Otu0728,0.416551,0.000876,0.028537644,0.416551,2
Otu0716,Otu1895,-0.323644,0.001488,0.039539326,0.323644,1
Otu0745,Otu0801,-0.392339,0.000532,0.022454571,0.392339,1
Otu0772,Otu0776,0.680441,0,0,0.680441,3
Otu0772,Otu0781,0.455674,0.000312,0.015912,0.455674,2
Otu0772,Otu0918,0.526833,4.40E-05,0.003686571,0.526833,2
Otu0772,Otu1915,-0.366494,0.000828,0.028537644,0.366494,1
Otu0776,Otu0781,0.408011,0.001596,0.0416024,0.408011,2
Otu0776,Otu0918,0.560017,4.00E-06,0.000446857,0.560017,2
Otu0776,Otu1915,-0.417205,0.000348,0.016661388,0.417205,2
Otu0781,Otu0968,-0.358471,0.000888,0.028537644,0.358471,1
Otu0781,Otu1915,-0.359443,0.001108,0.031430747,0.359443,1
Otu0790,Otu0792,0.53589,2.00E-05,0.0018768,0.53589,2
Otu0790,Otu0795,0.509193,0.000112,0.0075072,0.509193,2
Otu0790,Otu0804,0.438125,0.000764,0.02829206,0.438125,2
Otu0790,Otu1661,-0.346439,0.000808,0.02829206,0.346439,1
Otu0790,Otu1907,-0.345829,0.000988,0.030345662,0.345829,1
Otu0792,Otu0795,0.71915,0,0,0.71915,3
Otu0792,Otu0796,0.572803,1.20E-05,0.001173,0.572803,2
Otu0792,Otu0797,0.452604,0.000396,0.018216,0.452604,2
Otu0792,Otu0798,0.430574,0.000868,0.028537644,0.430574,2
Otu0792,Otu0801,0.430677,0.000844,0.028537644,0.430677,2
Otu0792,Otu0804,0.697673,0,0,0.697673,3
Otu0792,Otu0805,0.660424,0,0,0.660424,3
Otu0795,Otu0796,0.610729,0,0,0.610729,3
Otu0795,Otu0797,0.530859,3.60E-05,0.003128,0.530859,2
Otu0795,Otu0798,0.624232,0,0,0.624232,3
Otu0795,Otu0801,0.651091,0,0,0.651091,3
Otu0795,Otu0804,0.817252,0,0,0.817252,3
Otu0795,Otu0805,0.773873,0,0,0.773873,3
Otu0795,Otu0809,0.413537,0.001316,0.035899256,0.413537,2
Otu0796,Otu0797,0.443703,0.000608,0.024175729,0.443703,2
Otu0796,Otu0798,0.500089,9.60E-05,0.006624,0.500089,2
Otu0796,Otu0801,0.424062,0.00096,0.030345662,0.424062,2
Otu0796,Otu0804,0.599038,4.00E-06,0.000446857,0.599038,2
Otu0796,Otu0805,0.664395,0,0,0.664395,3
Otu0796,Otu1917,-0.398222,0.000212,0.0124338,0.398222,1
Otu0797,Otu0798,0.437337,0.000768,0.02829206,0.437337,2
Otu0797,Otu0801,0.622655,0,0,0.622655,3
Otu0797,Otu0804,0.600754,0,0,0.600754,3
Otu0797,Otu0805,0.576075,4.00E-06,0.000446857,0.576075,2
Otu0797,Otu1887,-0.47049,0.00018,0.011412973,0.47049,2
Otu0798,Otu0800,0.392353,0.001892,0.046722442,0.392353,1
