Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0030,Otu0291,-0.309788,0.001104,0.034641584,0.309788,1
Otu0291,Otu0314,0.412219,0.000228,0.013715077,0.412219,2
Otu0291,Otu0616,-0.288277,0.001413,0.0389988,0.288277,1
Otu0291,Otu0664,-0.292117,0.001107,0.034641584,0.292117,1
Otu0291,Otu0669,-0.325093,0.000525,0.022348737,0.325093,1
Otu0291,Otu0918,0.396571,0.000246,0.013748651,0.396571,1
Otu0291,Otu1149,0.34651,4.50E-05,0.004798636,0.34651,1
Otu0302,Otu0309,0.401436,0.000252,0.013748651,0.401436,2
Otu0302,Otu0552,-0.323228,0.000111,0.0086802,0.323228,1
Otu0302,Otu0915,0.411711,0.000246,0.013748651,0.411711,2
Otu0302,Otu1411,-0.29107,0.000318,0.015872936,0.29107,1
Otu0302,Otu1887,0.434,2.10E-05,0.0024633,0.434,2
Otu0309,Otu0817,0.416613,0.000135,0.009897188,0.416613,2
Otu0309,Otu0915,0.471561,2.10E-05,0.0024633,0.471561,2
Otu0309,Otu0918,0.486809,6.00E-06,0.000828,0.486809,2
Otu0314,Otu0664,-0.298815,0.000867,0.03035794,0.298815,1
Otu0314,Otu0669,-0.314041,0.000759,0.026979,0.314041,1
Otu0314,Otu0691,-0.313289,0.000576,0.0225216,0.313289,1
Otu0314,Otu0792,-0.35697,0.000618,0.023384323,0.35697,1
Otu0314,Otu0795,-0.387899,0.00036,0.017523184,0.387899,1
Otu0314,Otu0796,-0.438697,5.40E-05,0.0052785,0.438697,2
Otu0314,Otu0797,-0.354562,0.00054,0.022348737,0.354562,1
Otu0314,Otu0804,-0.342294,0.000633,0.023571714,0.342294,1
Otu0314,Otu0805,-0.355073,0.000573,0.0225216,0.355073,1
Otu0314,Otu0968,0.3035,0.001458,0.039772884,0.3035,1
Otu0314,Otu1887,0.426357,7.50E-05,0.006283929,0.426357,2
Otu0465,Otu0501,0.300733,0.000108,0.0086802,0.300733,1
Otu0465,Otu0886,0.326986,7.50E-05,0.006283929,0.326986,1
Otu0465,Otu1891,-0.322718,3.60E-05,0.004021714,0.322718,1
Otu0501,Otu1149,0.238013,0.001053,0.03431025,0.238013,1
Otu0528,Otu0745,0.383744,0.000252,0.013748651,0.383744,1
Otu0552,Otu1411,0.313263,0.000513,0.022348737,0.313263,1
Otu0599,Otu1411,0.285509,0.001296,0.036801108,0.285509,1
Otu0664,Otu0691,0.388611,0.000159,0.010971,0.388611,1
Otu0664,Otu0792,0.341373,0.001188,0.035731385,0.341373,1
Otu0664,Otu0795,0.413044,7.20E-05,0.006283929,0.413044,2
Otu0664,Otu0804,0.345582,0.001125,0.034641584,0.345582,1
Otu0664,Otu0805,0.328579,0.001926,0.049652703,0.328579,1
Otu0664,Otu1149,-0.213812,0.000945,0.031324056,0.213812,1
Otu0669,Otu0705,-0.267009,0.000423,0.01984716,0.267009,1
Otu0669,Otu1149,-0.2519,0.000147,0.010450364,0.2519,1
Otu0669,Otu1858,-0.244944,0.000699,0.025622719,0.244944,1
Otu0669,Otu1932,0.327741,0.001359,0.037954929,0.327741,1
Otu0705,Otu0711,0.323656,0.000366,0.017523184,0.323656,1
Otu0705,Otu1903,-0.234304,0.000537,0.022348737,0.234304,1
Otu0711,Otu0804,-0.295273,0.000222,0.013705579,0.295273,1
Otu0716,Otu0967,-0.261038,0.000594,0.022844656,0.261038,1
Otu0728,Otu0781,0.350367,0.001287,0.036801108,0.350367,1
Otu0728,Otu0945,0.359583,0.000528,0.022348737,0.359583,1
Otu0728,Otu1858,0.300338,0.001131,0.034641584,0.300338,1
Otu0728,Otu1897,-0.26252,0.000192,0.012173838,0.26252,1
Otu0745,Otu0809,0.332049,0.001608,0.042386157,0.332049,1
Otu0745,Otu1717,0.479671,3.00E-06,0.000502714,0.479671,2
Otu0772,Otu0776,0.39541,0.000273,0.014555864,0.39541,1
Otu0772,Otu0781,0.853026,0,0,0.853026,3
Otu0776,Otu0781,0.487789,6.00E-06,0.000828,0.487789,2
Otu0776,Otu0817,-0.312784,0.001302,0.036801108,0.312784,1
Otu0792,Otu0795,0.801643,0,0,0.801643,3
Otu0792,Otu0796,0.543116,0,0,0.543116,2
Otu0792,Otu0797,0.59113,0,0,0.59113,2
Otu0792,Otu0798,0.350062,0.001641,0.0427754,0.350062,1
Otu0792,Otu0801,0.483433,6.00E-06,0.000828,0.483433,2
Otu0792,Otu0804,0.536632,0,0,0.536632,2
Otu0792,Otu0805,0.649588,0,0,0.649588,3
Otu0795,Otu0796,0.5216,0,0,0.5216,2
Otu0795,Otu0797,0.616849,0,0,0.616849,3
Otu0795,Otu0798,0.379049,0.000744,0.026852677,0.379049,1
Otu0795,Otu0801,0.539009,0,0,0.539009,2
Otu0795,Otu0804,0.705177,0,0,0.705177,3
Otu0795,Otu0805,0.691756,0,0,0.691756,3
Otu0795,Otu1404,0.393508,0.000165,0.011059714,0.393508,1
Otu0796,Otu0797,0.357001,0.001293,0.036801108,0.357001,1
Otu0796,Otu0804,0.368891,0.000948,0.031324056,0.368891,1
Otu0796,Otu0805,0.367297,0.000924,0.031324056,0.367297,1
Otu0797,Otu0801,0.378528,0.000543,0.022348737,0.378528,1
Otu0797,Otu0804,0.446514,6.30E-05,0.00591192,0.446514,2
Otu0797,Otu0805,0.520302,3.00E-06,0.000502714,0.520302,2
Otu0797,Otu1887,-0.303126,0.000945,0.031324056,0.303126,1
Otu0801,Otu0804,0.400108,3.00E-04,0.0153,0.400108,2
Otu0801,Otu0805,0.439341,5.40E-05,0.0052785,0.439341,2
