Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0030,Otu0291,-0.286589,0.02911,0.235075541,0.286589,1
Otu0030,Otu0716,-0.255991,0.03442,0.251555514,0.255991,1
Otu0030,Otu1897,-0.194781,0.03709,0.257367965,0.194781,0
Otu0291,Otu0314,0.397931,0.00615,0.132517297,0.397931,1
Otu0291,Otu0465,0.313452,0.01662,0.1949526,0.313452,1
Otu0291,Otu0501,0.319378,0.0089,0.144937808,0.319378,1
Otu0291,Otu0528,-0.339304,0.00646,0.135313929,0.339304,1
Otu0291,Otu0616,-0.335949,0.00705,0.136182439,0.335949,1
Otu0291,Otu0664,-0.295095,0.01769,0.201053333,0.295095,1
Otu0291,Otu0669,-0.27596,0.02949,0.235075541,0.27596,1
Otu0291,Otu0705,0.260328,0.02067,0.211542747,0.260328,1
Otu0291,Otu0711,0.2391,0.04387,0.271175433,0.2391,1
Otu0291,Otu0745,-0.243566,0.04686,0.276875038,0.243566,1
Otu0291,Otu0918,0.279358,0.04076,0.267900167,0.279358,1
Otu0291,Otu1149,0.490835,1.00E-05,0.002132727,0.490835,2
Otu0291,Otu1891,-0.34681,0.00706,0.136182439,0.34681,1
Otu0291,Otu1932,-0.255619,0.03356,0.248543208,0.255619,1
Otu0302,Otu0309,0.475103,0.00087,0.054181429,0.475103,2
Otu0302,Otu0314,0.483243,0.00058,0.04252125,0.483243,2
Otu0302,Otu0348,0.277242,0.02146,0.212426835,0.277242,1
Otu0302,Otu0552,-0.347907,0.00201,0.074848571,0.347907,1
Otu0302,Otu0599,-0.284911,0.01019,0.151599114,0.284911,1
Otu0302,Otu0772,-0.361403,0.00734,0.13775712,0.361403,1
Otu0302,Otu0781,-0.297052,0.02431,0.224717244,0.297052,1
Otu0302,Otu0796,-0.258031,0.04509,0.274756208,0.258031,1
Otu0302,Otu0805,-0.288244,0.02793,0.233180712,0.288244,1
Otu0302,Otu0915,0.52864,0.00028,0.02856,0.52864,2
Otu0302,Otu0918,0.313689,0.02229,0.21608405,0.313689,1
Otu0302,Otu0967,-0.339761,0.00232,0.081234627,0.339761,1
Otu0302,Otu0968,0.404788,0.00124,0.059552308,0.404788,2
Otu0302,Otu1411,-0.329902,0.00359,0.103660465,0.329902,1
Otu0302,Otu1887,0.549984,4.00E-05,0.00782,0.549984,2
Otu0302,Otu1891,0.265456,0.04377,0.271175433,0.265456,1
Otu0302,Otu1915,0.271546,0.03369,0.248543208,0.271546,1
Otu0302,Otu1932,-0.254432,0.03487,0.253266316,0.254432,1
Otu0302,Otu1957,0.358942,0.00663,0.13566,0.358942,1
Otu0309,Otu0314,0.31964,0.02123,0.212426835,0.31964,1
Otu0309,Otu0552,-0.424959,0.00016,0.019755789,0.424959,2
Otu0309,Otu0599,-0.244689,0.02656,0.229976496,0.244689,1
Otu0309,Otu0705,-0.208848,0.02914,0.235075541,0.208848,1
Otu0309,Otu0772,-0.368072,0.00689,0.136182439,0.368072,1
Otu0309,Otu0781,-0.3092,0.02088,0.211542747,0.3092,1
Otu0309,Otu0796,-0.296922,0.02433,0.224717244,0.296922,1
Otu0309,Otu0805,-0.306737,0.02098,0.211542747,0.306737,1
Otu0309,Otu0915,0.478131,0.001,0.05455814,0.478131,2
Otu0309,Otu0918,0.558537,0.00013,0.01794,0.558537,2
Otu0309,Otu0967,-0.307533,0.0071,0.136182439,0.307533,1
Otu0309,Otu1661,-0.254626,0.02544,0.227219326,0.254626,1
Otu0309,Otu1858,-0.27148,0.00783,0.139693636,0.27148,1
Otu0309,Otu1900,-0.300003,0.01389,0.1770975,0.300003,1
Otu0309,Otu1947,-0.227979,0.04531,0.275381503,0.227979,1
Otu0309,Otu1957,0.273396,0.03286,0.247876399,0.273396,1
Otu0314,Otu0552,-0.234131,0.03471,0.252887143,0.234131,1
Otu0314,Otu0599,-0.219483,0.04262,0.270424054,0.219483,1
Otu0314,Otu0616,-0.298795,0.01568,0.190326769,0.298795,1
Otu0314,Otu0664,-0.297516,0.01852,0.203980845,0.297516,1
Otu0314,Otu0669,-0.444414,0.00052,0.040664,0.444414,2
Otu0314,Otu0691,-0.352964,0.00672,0.135906207,0.352964,1
Otu0314,Otu0705,0.228207,0.02674,0.229976496,0.228207,1
Otu0314,Otu0776,-0.257868,0.04649,0.27659043,0.257868,1
Otu0314,Otu0792,-0.440567,0.00128,0.059552308,0.440567,2
Otu0314,Otu0795,-0.389817,0.00376,0.103660465,0.389817,1
Otu0314,Otu0796,-0.505194,0.00037,0.033385385,0.505194,2
Otu0314,Otu0797,-0.504989,0.00035,0.032844,0.504989,2
Otu0314,Otu0798,-0.323119,0.01556,0.190326769,0.323119,1
Otu0314,Otu0804,-0.375846,0.00458,0.1112004,0.375846,1
Otu0314,Otu0805,-0.315317,0.01817,0.202356398,0.315317,1
Otu0314,Otu0886,0.253991,0.03555,0.253638967,0.253991,1
Otu0314,Otu0918,0.309742,0.0247,0.225471595,0.309742,1
Otu0314,Otu0968,0.294878,0.01716,0.19734,0.294878,1
Otu0314,Otu1501,-0.225473,0.03815,0.261695614,0.225473,1
Otu0314,Otu1887,0.395785,0.00544,0.121768571,0.395785,1
Otu0314,Otu1932,-0.337014,0.00786,0.139693636,0.337014,1
Otu0348,Otu0599,-0.310122,0.00079,0.052952571,0.310122,1
Otu0348,Otu0691,-0.198003,0.04348,0.271175433,0.198003,0
Otu0348,Otu0792,-0.27195,0.01045,0.154186792,0.27195,1
Otu0348,Otu0795,-0.224585,0.03063,0.237940331,0.224585,1
Otu0348,Otu0798,-0.223824,0.03053,0.237940331,0.223824,1
Otu0348,Otu0801,-0.345353,0.00132,0.059552308,0.345353,1
Otu0348,Otu0804,-0.335332,0.00189,0.071515161,0.335332,1
Otu0348,Otu0805,-0.325139,0.00251,0.086595,0.325139,1
Otu0348,Otu0967,-0.214331,0.01835,0.203061792,0.214331,1
Otu0348,Otu1404,-0.315674,0.00167,0.067548621,0.315674,1
Otu0348,Otu1899,0.254525,0.02034,0.211542747,0.254525,1
Otu0348,Otu1915,0.29287,0.01136,0.162087273,0.29287,1
Otu0348,Otu1932,-0.200264,0.03808,0.261695614,0.200264,1
Otu0465,Otu0501,0.248492,0.02264,0.217243415,0.248492,1
Otu0465,Otu0552,0.229886,0.04845,0.279959852,0.229886,1
Otu0465,Otu0716,-0.275245,0.0096,0.14766,0.275245,1
Otu0465,Otu0728,-0.219853,0.04214,0.26934375,0.219853,1
Otu0465,Otu0745,-0.262755,0.01581,0.190326769,0.262755,1
Otu0465,Otu0790,0.352318,0.00823,0.1419675,0.352318,1
Otu0465,Otu0795,0.250835,0.04651,0.27659043,0.250835,1
Otu0465,Otu0886,0.429313,0.00015,0.01955,0.429313,2
Otu0465,Otu0967,0.315767,0.00688,0.136182439,0.315767,1
Otu0465,Otu1109,0.314473,0.00818,0.1419675,0.314473,1
Otu0465,Otu1703,-0.205935,0.02772,0.233086452,0.205935,1
Otu0465,Otu1717,-0.226331,0.02523,0.22713954,0.226331,1
Otu0465,Otu1840,0.260037,0.03127,0.240522689,0.260037,1
Otu0465,Otu1891,-0.379181,0.00063,0.044787273,0.379181,1
Otu0465,Otu1915,-0.289869,0.00574,0.125850841,0.289869,1
Otu0501,Otu0528,-0.183573,0.04086,0.267900167,0.183573,0
Otu0501,Otu0705,0.261915,0.00713,0.136182439,0.261915,1
Otu0501,Otu0716,-0.21603,0.02055,0.211542747,0.21603,1
Otu0501,Otu0745,-0.189239,0.04103,0.267900167,0.189239,0
Otu0501,Otu0801,-0.248828,0.01171,0.163521786,0.248828,1
Otu0501,Otu0886,0.281983,0.00862,0.144446571,0.281983,1
Otu0501,Otu0915,-0.213979,0.02934,0.235075541,0.213979,1
Otu0501,Otu1149,0.333937,0.00092,0.054181429,0.333937,1
Otu0501,Otu1891,-0.225615,0.01934,0.207283562,0.225615,1
Otu0501,Otu1915,-0.273795,0.0032,0.102082703,0.273795,1
Otu0501,Otu1932,-0.199194,0.02964,0.235075541,0.199194,0
Otu0501,Otu1957,-0.174433,0.04293,0.271079357,0.174433,0
Otu0528,Otu0599,-0.19972,0.0419,0.268700328,0.19972,0
Otu0528,Otu0716,0.397616,0.00313,0.101985833,0.397616,1
Otu0528,Otu0745,0.335323,0.0135,0.174016484,0.335323,1
Otu0528,Otu0772,0.274084,0.03787,0.261303,0.274084,1
Otu0528,Otu0809,0.26524,0.04781,0.27815198,0.26524,1
Otu0528,Otu1717,0.2632,0.03962,0.266328138,0.2632,1
Otu0528,Otu1897,-0.186295,0.03394,0.248822625,0.186295,0
Otu0552,Otu0711,0.216715,0.04627,0.27659043,0.216715,1
Otu0552,Otu0967,0.264755,0.02182,0.214182929,0.264755,1
Otu0552,Otu1411,0.252227,0.0315,0.240713355,0.252227,1
Otu0552,Otu1703,-0.182918,0.04029,0.267900167,0.182918,0
Otu0552,Otu1858,0.37646,0.00066,0.04554,0.37646,1
Otu0552,Otu1891,-0.213735,0.04039,0.267900167,0.213735,1
Otu0552,Otu1895,0.233047,0.04901,0.281118484,0.233047,1
Otu0552,Otu1917,-0.210706,0.01616,0.192443452,0.210706,1
Otu0599,Otu0745,-0.25056,0.01704,0.19734,0.25056,1
Otu0599,Otu1404,0.261559,0.03125,0.240522689,0.261559,1
Otu0599,Otu1411,0.244035,0.03592,0.254102892,0.244035,1
Otu0599,Otu1887,-0.314306,0.00372,0.103660465,0.314306,1
Otu0599,Otu1915,-0.306267,0.00293,0.096813803,0.306267,1
Otu0599,Otu1957,-0.229599,0.0206,0.211542747,0.229599,1
