Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0030,Otu0291,-0.343646,0.01653,0.251933503,0.343646,1
Otu0030,Otu0302,0.433052,0.00428,0.170979661,0.433052,2
Otu0030,Otu0465,-0.337122,0.00203,0.125325789,0.337122,1
Otu0030,Otu0501,-0.245442,0.00922,0.2214624,0.245442,1
Otu0030,Otu0528,0.298669,0.03976,0.327287579,0.298669,1
Otu0030,Otu0552,-0.377251,0.00189,0.119836216,0.377251,1
Otu0030,Otu0745,0.31357,0.03258,0.303304286,0.31357,1
Otu0030,Otu0790,0.374864,0.01537,0.248676,0.374864,1
Otu0030,Otu0886,-0.235123,0.02901,0.294827143,0.235123,1
Otu0030,Otu0918,-0.477354,0.00099,0.089495556,0.477354,2
Otu0030,Otu0968,-0.358199,0.00456,0.17595,0.358199,1
Otu0030,Otu1109,-0.280464,0.01476,0.248676,0.280464,1
Otu0030,Otu1501,-0.27067,0.02231,0.271187876,0.27067,1
Otu0030,Otu1717,0.324134,0.02413,0.278977537,0.324134,1
Otu0291,Otu0314,0.437731,0.00596,0.190808,0.437731,2
Otu0291,Otu0664,-0.411928,0.00099,0.089495556,0.411928,2
Otu0291,Otu0669,-0.415321,0.00231,0.130939535,0.415321,2
Otu0291,Otu0745,-0.299332,0.02904,0.294827143,0.299332,1
Otu0291,Otu0792,-0.333014,0.02089,0.269532198,0.333014,1
Otu0291,Otu0795,-0.410092,0.0049,0.181815,0.410092,2
Otu0291,Otu0796,-0.303816,0.03055,0.295464096,0.303816,1
Otu0291,Otu0797,-0.378102,0.00869,0.219464516,0.378102,1
Otu0291,Otu0804,-0.31307,0.02666,0.286900734,0.31307,1
Otu0291,Otu0805,-0.399978,0.00576,0.188983333,0.399978,1
Otu0291,Otu0918,0.528758,0.00058,0.064794286,0.528758,2
Otu0291,Otu1149,0.22254,0.04328,0.337191536,0.22254,1
Otu0291,Otu1897,0.26615,0.01887,0.266680843,0.26615,1
Otu0302,Otu0309,0.336659,0.028,0.291381504,0.336659,1
