Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0030,Otu0772,0.328747,0.00084,0.016286281,0.328747,1
Otu0030,Otu0781,0.406223,3.20E-05,0.001668267,0.406223,2
Otu0291,Otu0302,0.372957,0.000224,0.006914526,0.372957,1
Otu0291,Otu0309,0.315189,0.001404,0.023661086,0.315189,1
Otu0291,Otu0314,0.419161,3.20E-05,0.001668267,0.419161,2
Otu0291,Otu0501,0.332925,3.60E-05,0.0017595,0.332925,1
Otu0291,Otu0664,-0.250793,0.002652,0.03888495,0.250793,1
Otu0291,Otu0669,-0.267664,0.001708,0.027634262,0.267664,1
Otu0291,Otu0792,-0.317679,0.000724,0.0147696,0.317679,1
Otu0291,Otu0795,-0.362924,0.000212,0.006720973,0.362924,1
Otu0291,Otu0801,-0.300014,0.000748,0.015127655,0.300014,1
Otu0291,Otu0804,-0.320216,0.000636,0.013815333,0.320216,1
Otu0291,Otu0805,-0.318319,0.000608,0.013456302,0.318319,1
Otu0291,Otu0809,-0.252088,0.003772,0.049714112,0.252088,1
Otu0291,Otu1897,0.256082,0.00248,0.037057834,0.256082,1
Otu0291,Otu1932,-0.28659,0.000664,0.014246618,0.28659,1
Otu0302,Otu0309,0.666508,0,0,0.666508,3
Otu0302,Otu0314,0.342007,0.00072,0.0147696,0.342007,1
Otu0302,Otu0552,-0.258868,0.000868,0.016555512,0.258868,1
Otu0302,Otu0918,0.294707,0.002948,0.041662699,0.294707,1
Otu0302,Otu1917,-0.251563,0.000668,0.014246618,0.251563,1
Otu0302,Otu1932,-0.261419,0.001356,0.023052,0.261419,1
Otu0309,Otu0314,0.398326,6.00E-05,0.002606667,0.398326,1
Otu0309,Otu0552,-0.266942,0.000708,0.0147696,0.266942,1
Otu0314,Otu0348,0.342547,6.00E-05,0.002606667,0.342547,1
Otu0314,Otu0501,0.317446,7.20E-05,0.003016286,0.317446,1
Otu0314,Otu0552,-0.230858,0.002768,0.03982478,0.230858,1
Otu0314,Otu0790,-0.411529,4.00E-06,0.000246947,0.411529,2
Otu0314,Otu0792,-0.316846,0.000396,0.009989419,0.316846,1
Otu0314,Otu0795,-0.338832,0.000236,0.007098154,0.338832,1
Otu0314,Otu0796,-0.331233,0.000284,0.007931714,0.331233,1
Otu0314,Otu0798,-0.273367,0.000824,0.0161092,0.273367,1
Otu0314,Otu0804,-0.373884,3.60E-05,0.0017595,0.373884,1
Otu0314,Otu0805,-0.395746,2.00E-05,0.00114439,0.395746,1
Otu0314,Otu0809,-0.304708,0.000184,0.006348,0.304708,1
Otu0314,Otu1887,0.290674,0.00346,0.047188114,0.290674,1
Otu0314,Otu1897,0.255038,0.00198,0.03109232,0.255038,1
Otu0348,Otu0796,-0.228188,0.00202,0.031383576,0.228188,1
Otu0348,Otu0798,-0.225692,0.002036,0.031424053,0.225692,1
Otu0465,Otu0691,0.280954,0.0017,0.027634262,0.280954,1
Otu0465,Otu0728,-0.219506,0.003636,0.048466227,0.219506,1
Otu0465,Otu0886,0.390407,0,0,0.390407,1
Otu0465,Otu0967,0.245215,0.003244,0.0447672,0.245215,1
Otu0501,Otu0664,-0.264089,5.20E-05,0.002346,0.264089,1
Otu0501,Otu0669,-0.253773,0.00014,0.005131875,0.253773,1
Otu0501,Otu0705,0.237819,0.000428,0.01045925,0.237819,1
Otu0501,Otu0797,-0.283529,3.20E-05,0.001668267,0.283529,1
Otu0501,Otu0809,-0.205718,0.001988,0.03109232,0.205718,1
Otu0501,Otu0915,-0.251353,0.000204,0.006684493,0.251353,1
Otu0501,Otu1840,-0.18307,0.00342,0.04692,0.18307,0
Otu0501,Otu1887,0.281222,0.00052,0.012078416,0.281222,1
Otu0501,Otu1891,-0.25086,0.00016,0.005687273,0.25086,1
Otu0599,Otu0772,0.36215,6.40E-05,0.002729891,0.36215,1
Otu0599,Otu0776,0.341307,0.00022,0.0068816,0.341307,1
Otu0599,Otu0781,0.330929,0.000304,0.008292837,0.330929,1
Otu0599,Otu0968,-0.227719,8.00E-04,0.015771429,0.227719,1
Otu0616,Otu1895,-0.238108,0.00132,0.022603796,0.238108,1
Otu0616,Otu1903,-0.277047,3.00E-04,0.00828,0.277047,1
Otu0616,Otu1937,-0.320465,4.40E-05,0.002106612,0.320465,1
Otu0616,Otu1957,-0.2514,0.000788,0.015666508,0.2514,1
Otu0664,Otu0669,0.356163,0.000152,0.005486031,0.356163,1
Otu0664,Otu0691,0.346363,0.000284,0.007931714,0.346363,1
Otu0664,Otu0705,-0.221319,0.000208,0.006684493,0.221319,1
Otu0664,Otu0795,0.331152,0.000856,0.016460459,0.331152,1
Otu0664,Otu0817,-0.343986,0.000176,0.006162627,0.343986,1
