Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0030,Otu1501,0.282477,0.001347,0.041579763,0.282477,1
Otu0291,Otu0314,0.471719,0,0,0.471719,2
Otu0291,Otu0664,-0.277373,0.000699,0.025445077,0.277373,1
Otu0291,Otu1891,-0.380633,7.20E-05,0.004692,0.380633,1
Otu0291,Otu1900,-0.324947,0.000138,0.007517864,0.324947,1
Otu0302,Otu0309,0.476519,9.00E-06,0.000812077,0.476519,2
Otu0302,Otu0796,-0.329614,0.000588,0.023536918,0.329614,1
Otu0302,Otu0797,-0.293017,0.000972,0.033048,0.293017,1
Otu0302,Otu0805,-0.331282,0.000594,0.023536918,0.331282,1
Otu0302,Otu0915,0.345768,0.000705,0.025445077,0.345768,1
Otu0302,Otu1887,0.372452,0.000117,0.006535286,0.372452,1
Otu0309,Otu0918,0.407378,4.50E-05,0.003105,0.407378,2
Otu0314,Otu0669,-0.26628,0.001497,0.044487111,0.26628,1
Otu0314,Otu0795,-0.378113,0.000141,0.007517864,0.378113,1
Otu0314,Otu0796,-0.444167,3.00E-06,0.00029325,0.444167,2
Otu0314,Otu0797,-0.331856,0.000423,0.018377,0.331856,1
Otu0314,Otu0798,-0.279144,0.0015,0.044487111,0.279144,1
Otu0314,Otu0805,-0.355172,0.00027,0.013477021,0.355172,1
Otu0314,Otu1887,0.618128,0,0,0.618128,3
Otu0501,Otu0669,-0.201819,0.001251,0.03913128,0.201819,1
Otu0501,Otu0795,-0.225133,0.000609,0.023536918,0.225133,1
Otu0501,Otu0797,-0.203037,0.001494,0.044487111,0.203037,1
Otu0501,Otu0801,-0.237909,0.000285,0.013645102,0.237909,1
Otu0501,Otu0886,0.226482,0.001521,0.044487111,0.226482,1
Otu0528,Otu1887,0.297325,0.001656,0.0457056,0.297325,1
Otu0664,Otu1858,-0.191565,0.001803,0.049184163,0.191565,0
Otu0669,Otu1149,-0.194776,0.001536,0.044487111,0.194776,0
Otu0669,Otu1887,-0.276521,0.000612,0.023536918,0.276521,1
Otu0691,Otu0945,-0.243685,0.00075,0.026261194,0.243685,1
Otu0711,Otu0805,-0.245032,0.00084,0.02898,0.245032,1
Otu0728,Otu0798,0.420005,8.10E-05,0.004872462,0.420005,2
Otu0728,Otu0817,0.438201,3.30E-05,0.002559273,0.438201,2
Otu0745,Otu0967,0.306904,0.00024,0.01224,0.306904,1
Otu0772,Otu0776,0.566978,0,0,0.566978,2
Otu0772,Otu0781,0.405045,3.60E-05,0.002559273,0.405045,2
Otu0776,Otu0781,0.353673,0.000396,0.017794189,0.353673,1
Otu0776,Otu0886,-0.245293,0.000282,0.013645102,0.245293,1
Otu0790,Otu0795,0.358544,0.000504,0.020743579,0.358544,1
Otu0790,Otu0801,0.345503,0.000684,0.025445077,0.345503,1
Otu0790,Otu1149,-0.255687,5.70E-05,0.003820629,0.255687,1
Otu0792,Otu0795,0.612077,0,0,0.612077,3
Otu0792,Otu0796,0.518795,0,0,0.518795,2
Otu0792,Otu0801,0.547102,0,0,0.547102,2
Otu0792,Otu0804,0.452087,3.00E-06,0.00029325,0.452087,2
Otu0792,Otu0805,0.481159,0,0,0.481159,2
Otu0792,Otu1149,-0.20825,0.000999,0.033480771,0.20825,1
Otu0795,Otu0796,0.775643,0,0,0.775643,3
Otu0795,Otu0797,0.664557,0,0,0.664557,3
Otu0795,Otu0798,0.606443,0,0,0.606443,3
Otu0795,Otu0801,0.594641,0,0,0.594641,2
Otu0795,Otu0804,0.617122,0,0,0.617122,3
Otu0795,Otu0805,0.717544,0,0,0.717544,3
Otu0795,Otu1887,-0.335355,0.000336,0.01576512,0.335355,1
Otu0795,Otu1900,0.306387,0.001149,0.036426405,0.306387,1
Otu0796,Otu0797,0.661694,0,0,0.661694,3
Otu0796,Otu0798,0.654079,0,0,0.654079,3
Otu0796,Otu0801,0.513828,0,0,0.513828,2
Otu0796,Otu0804,0.49907,0,0,0.49907,2
Otu0796,Otu0805,0.643839,0,0,0.643839,3
Otu0796,Otu0817,0.33657,0.001014,0.033504845,0.33657,1
Otu0796,Otu1887,-0.399923,3.30E-05,0.002559273,0.399923,1
Otu0797,Otu0798,0.617179,0,0,0.617179,3
Otu0797,Otu0801,0.41848,3.60E-05,0.002559273,0.41848,2
Otu0797,Otu0804,0.380501,0.000207,0.0107916,0.380501,1
Otu0797,Otu0805,0.587308,0,0,0.587308,2
Otu0797,Otu0817,0.335664,0.001086,0.034900767,0.335664,1
Otu0797,Otu1887,-0.363535,7.80E-05,0.004872462,0.363535,1
Otu0798,Otu0801,0.36584,0.000402,0.017794189,0.36584,1
Otu0798,Otu0804,0.361011,0.000495,0.020736964,0.361011,1
Otu0798,Otu0805,0.481199,0,0,0.481199,2
Otu0798,Otu0817,0.44054,2.40E-05,0.002010857,0.44054,2
Otu0801,Otu0804,0.387809,0.000117,0.006535286,0.387809,1
Otu0801,Otu0805,0.467156,9.00E-06,0.000812077,0.467156,2
Otu0801,Otu1149,-0.20027,0.001581,0.045232024,0.20027,1
Otu0801,Otu1900,0.324135,0.000435,0.018554727,0.324135,1
Otu0804,Otu0805,0.431101,3.60E-05,0.002559273,0.431101,2
Otu0804,Otu1900,0.296347,0.001635,0.0457056,0.296347,1
Otu0805,Otu1149,-0.251317,0.000114,0.006535286,0.251317,1
Otu0805,Otu1887,-0.300113,0.000402,0.017794189,0.300113,1
Otu0817,Otu1853,0.314636,0.00105,0.0342125,0.314636,1
