Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0030,Otu0616,0.388833,0.0027,0.132549,0.388833,1
Otu0030,Otu0817,0.26914,0.035376,0.332862345,0.26914,1
Otu0030,Otu0945,0.312584,0.01146,0.233784,0.312584,1
Otu0030,Otu1149,-0.193921,0.0189,0.278864151,0.193921,0
Otu0030,Otu1903,-0.252917,0.020222,0.280275713,0.252917,1
Otu0291,Otu0302,0.337466,0.011016,0.233784,0.337466,1
Otu0291,Otu0309,0.356919,0.00702,0.2069172,0.356919,1
Otu0291,Otu0314,0.595442,0,0,0.595442,2
Otu0291,Otu0348,0.232833,0.03798,0.333572859,0.232833,1
Otu0291,Otu0664,-0.226788,0.037032,0.332862345,0.226788,1
Otu0291,Otu0669,-0.225906,0.04116,0.333572859,0.225906,1
Otu0291,Otu0705,0.270837,0.015372,0.27441944,0.270837,1
Otu0291,Otu0716,-0.204291,0.049032,0.344126687,0.204291,1
Otu0291,Otu0790,-0.229567,0.049788,0.3453312,0.229567,1
Otu0291,Otu0796,-0.317887,0.012816,0.249878083,0.317887,1
Otu0291,Otu0797,-0.363654,0.003252,0.143947019,0.363654,1
Otu0291,Otu0798,-0.289547,0.019452,0.280275713,0.289547,1
Otu0291,Otu0801,-0.242873,0.039384,0.333572859,0.242873,1
Otu0291,Otu0817,-0.301074,0.017546,0.27441944,0.301074,1
Otu0291,Otu0968,-0.250104,0.018756,0.278490987,0.250104,1
Otu0291,Otu1149,0.290694,0.005544,0.188462,0.290694,1
Otu0291,Otu1853,-0.269569,0.01782,0.275593263,0.269569,1
Otu0291,Otu1887,0.332449,0.012888,0.249878083,0.332449,1
Otu0291,Otu1891,-0.278917,0.02034,0.280275713,0.278917,1
Otu0291,Otu1900,-0.247451,0.021192,0.280275713,0.247451,1
Otu0291,Otu1985,-0.292894,0.007056,0.2069172,0.292894,1
Otu0302,Otu0309,0.496497,9.00E-04,0.075407143,0.496497,2
Otu0302,Otu0314,0.337296,0.00906,0.220381818,0.337296,1
Otu0302,Otu0772,0.257994,0.043572,0.335516459,0.257994,1
