Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0291,Otu0314,0.535438,4.00E-06,0.000391,0.535438,2
Otu0291,Otu0790,-0.378701,0.000636,0.024459934,0.378701,1
Otu0291,Otu0795,-0.378127,0.00102,0.032336757,0.378127,1
Otu0291,Otu0801,-0.410089,0.000516,0.022009745,0.410089,2
Otu0291,Otu1903,-0.331054,0.000488,0.021896,0.331054,1
Otu0302,Otu0309,0.680303,0,0,0.680303,3
Otu0302,Otu0691,-0.328567,0.001392,0.03982478,0.328567,1
Otu0302,Otu0817,0.394138,0.000708,0.025952625,0.394138,1
Otu0302,Otu1900,-0.30153,0.001464,0.0404064,0.30153,1
Otu0309,Otu1947,-0.299953,0.001596,0.043036966,0.299953,1
Otu0314,Otu0691,-0.366233,0.000824,0.029272478,0.366233,1
Otu0314,Otu0801,-0.331228,0.001696,0.043723253,0.331228,1
Otu0314,Otu1887,0.468869,2.00E-05,0.001564,0.468869,2
Otu0348,Otu0705,0.290553,0.00088,0.03036,0.290553,1
Otu0528,Otu0776,-0.382214,1.00E-04,0.006015385,0.382214,1
Otu0552,Otu0797,0.51159,4.00E-06,0.000391,0.51159,2
Otu0552,Otu0809,0.356085,0.001172,0.0360111,0.356085,1
Otu0616,Otu1661,0.367857,0.000404,0.01895568,0.367857,1
Otu0664,Otu0817,-0.330025,0.00108,0.0337824,0.330025,1
Otu0664,Otu1149,-0.256039,0.000632,0.024459934,0.256039,1
Otu0664,Otu1853,-0.293082,0.001436,0.0404064,0.293082,1
Otu0664,Otu1887,-0.300177,0.000968,0.031931667,0.300177,1
Otu0664,Otu1917,0.398414,8.00E-05,0.005072432,0.398414,1
Otu0669,Otu1887,-0.298587,0.000972,0.031931667,0.298587,1
Otu0705,Otu1661,0.305557,0.000592,0.023539525,0.305557,1
Otu0716,Otu0745,-0.291158,0.001352,0.039157926,0.291158,1
Otu0745,Otu0790,-0.330292,0.000836,0.029272478,0.330292,1
Otu0745,Otu0801,-0.316436,0.001756,0.044397419,0.316436,1
Otu0745,Otu0967,0.356752,0.000552,0.022719158,0.356752,1
Otu0745,Otu1661,0.330536,0.001964,0.047500454,0.330536,1
Otu0745,Otu1717,0.392173,0.000532,0.022287,0.392173,1
Otu0745,Otu1895,-0.364391,8.40E-05,0.005185895,0.364391,1
Otu0745,Otu1915,-0.274243,0.00188,0.046529,0.274243,1
Otu0745,Otu1937,-0.31397,0.000504,0.021896,0.31397,1
Otu0772,Otu0776,0.588869,0,0,0.588869,2
Otu0772,Otu0781,0.440166,0.000184,0.009810545,0.440166,2
Otu0772,Otu1899,-0.324076,0.000464,0.021344,0.324076,1
Otu0790,Otu0792,0.439369,0.000204,0.010182638,0.439369,2
Otu0790,Otu0795,0.557404,8.00E-06,0.000695111,0.557404,2
Otu0790,Otu0796,0.519355,1.20E-05,0.001005429,0.519355,2
Otu0790,Otu0797,0.3802,0.001452,0.0404064,0.3802,1
Otu0790,Otu0801,0.478814,4.40E-05,0.00322575,0.478814,2
Otu0790,Otu0804,0.598129,0,0,0.598129,2
Otu0790,Otu0805,0.440304,2.00E-04,0.010182638,0.440304,2
Otu0790,Otu1717,-0.422805,8.00E-05,0.005072432,0.422805,2
Otu0792,Otu0795,0.78369,0,0,0.78369,3
Otu0792,Otu0796,0.730166,0,0,0.730166,3
Otu0792,Otu0797,0.576823,8.00E-06,0.000695111,0.576823,2
Otu0792,Otu0801,0.5226,8.00E-06,0.000695111,0.5226,2
Otu0792,Otu0804,0.790026,0,0,0.790026,3
Otu0792,Otu0805,0.74865,0,0,0.74865,3
